id;videojuego;modelo;categoria_patron;descripcion;ubicacion_ui;frecuencia_sesion;retorica_color;retorica_tamano;sesgo_psicologico;ref_captura;marca_tiempo;clicks;alerta_sonora
FN_001;Fortnite;F2P;Nagging;Pantalla inicio de sesion con los personajes de la temporada;Menu_Principal;1;Multicolor;Grande;FOMO;CFN_01;0:00:55;;True
FN_002;Fortnite;F2P;Nagging;Ventana con eventos y anuncios del videojuego;Menu_Principal;1;Multicolor;Pequeno;Sobrecarga_Cognitiva;CFN_02;0:01:08;;False
FN_003;Fortnite;F2P;Near_Miss;Pantalla de eventos con barra de progreso;Menu_Principal;1;Multicolor;Medio;Efecto_Zeigarnik;CFN_03;0:01:12;;False
FN_004;Fortnite;F2P;Currency_Confusion;Precios mostrados en monedas del juego CRED y glorias pasas;Menu_Principal;1;Multicolor;Pequeno;Disociacion_Financiera;CFN_03;0:01:12;;False
FN_005;Fortnite;F2P;False_Urgency;Cuenta atras que dan fin al evento;Menu_Principal;1;Azul;Pequeno;Aversion_a_la_Perdida;CFN_03;0:01:12;;False
FN_006;Fortnite;F2P;Sunk_Cost;Barra de progreso del nivel de la temporada en el menu de pausa;Menu_Principal;1;Naranja;Pequeno;Falacia_Coste_Hundido;CFN_04;0:01:17;;False
FN_007;Fortnite;F2P;Currency_Confusion;Menu de la tienda en la que aparecen los articulos con la moneda propia del juego, los Pavos;Menu_Principal;1;Multicolor;Medio;Disociacion_Financiera;CFN_05;0:03:18;;False
FN_008;Fortnite;F2P;Price_Anchoring;Una vez seleccionado un articulo de la tienda, sale debajo de la divisa propia su equivalente en Euros;Menu_Principal;1;Blanco;Pequeno;Efecto_Anclaje;CFN_06;0:04:57;;False
FN_009;Fortnite;F2P;Sunk_Cost;Pases de batalla con la barra de progreso y, todas las recompensas que tienes disponibles;Menu_Principal;1;Multicolor;Grande;Falacia_Coste_Hundido;CFN_07;0:05:47;;False
FN_010;Fortnite;F2P;Sunk_Cost;Progreso de las recompensas;Menu_Principal;1;Multicolor;Grande;Falacia_Coste_Hundido;CFN_08;0:05:49;;False
FN_011;Fortnite;F2P;False_Urgency;Cuenta atras en la pagina de la tienda;Menu_Principal;1;Multicolor;Grande;Escasez;CFN_08;0:05:49;;False
FN_012;Fortnite;F2P;Playing_by_Appointment;En el apartado de competicion, vemos una gran cantidad de eventos para mantener a los usuarios alerta durante diferentes dias de la semana;Menu_Principal;1;Azul;Grande;Formacion_Habitos;CFN_09;0:06:26;;False
FN_013;Fortnite;F2P;Preselection;Cuando la partida termina, el cursor esta sobre el boton para jugar de nuevo (Aunque no hay autoplay);En_partida;1;Amarillo;Medio;Sesgo_Status_Quo;CFN_10;0:10:31;;True
FN_014;Fortnite;F2P;Time_Obstruction;Perdida de la nocion del tiempo;En_partida;1;Multicolor;No;Disociacion_Temporal;CFN_10;0:10:31;;False
FN_015;Fortnite;F2P;Social_Proof;En el Lobby, tienes un tiempo de espera de 1 minuto en el que ves a los otros jugadores con sus skins y sus acciones cosmeticas;En_partida;1;No;Grande;Efecto_Arrastre_(Bandwagon);CFN_11;0:07:37;;True
FN_016;Fortnite;F2P;Reward_Manipulation;En partida, el numero de veces que te sale una notificacion de que has ganado experiencia por casi cualquier cosa. Del minuto 08:21 al 10:31;En_partida;4;Amarillo;Pequeno;Refuerzo_Intermitente;CFN_12;0:08:21;;True
FN_017;Fortnite;F2P;Reward_Manipulation;En partida, el numero de veces que te sale una notificacion de que has ganado experiencia por casi cualquier cosa. Del minuto 10:02 al 16:19;En_partida;24;Amarillo;Pequeno;Refuerzo_Intermitente;CFN_13;0:10:21;;True
